order_id,order_date_us,City,zip_code,restaurant,Delivery,distance_miles,order_amount_usd,delivery_time_min,customer_rating,repeat_customer,num_past_orders,days_since_last_order,order_frequency_90d
1,03/01/2024,Portland,4101,Home Catering,Self Delivery,6.33,68.29,82,4.8,1,4,44,2
2,02/17/2024,Manchester,3103,Home Catering,Self Delivery,7.83,44.95,24,3.3,0,1,62,0
3,09/03/2024,Lowell,1852,Home Catering,Self Delivery,9.03,67.87,27,4.6,1,3,63,1
4,03/07/2024,Nashua,3060,Home Catering,Self Delivery,1.71,130.76,83,4.4,1,3,63,1
5,10/03/2024,Springfield,1103,Home Catering,Self Delivery,11.27,75.45,75,3.5,0,2,34,2
6,01/01/2024,Portland,4101,Home Catering,Pickup,1.09,178.26,28,3.6,1,3,27,2
7,08/08/2024,Concord,3301,Home Catering,Pickup,11.16,78.35,55,4.1,0,2,110,0
8,09/24/2024,Manchester,3103,Home Catering,Pickup,13.67,85.77,51,3.4,0,3,50,0
9,08/03/2024,Worcester,1608,Home Catering,Self Delivery,5.58,166.93,43,4.7,0,0,73,0
10,07/08/2024,Manchester,3103,Home Catering,Self Delivery,10.45,97.26,35,4.9,0,2,22,1
11,01/23/2024,Nashua,3060,Home Catering,Self Delivery,11.67,150.78,42,3.8,0,4,54,0
12,09/28/2024,Providence,2903,Home Catering,Pickup,6.17,35.21,31,4.4,0,2,52,1
13,08/07/2024,Manchester,3103,Home Catering,Pickup,13.94,101.23,76,3.5,0,1,64,1
14,04/27/2024,Nashua,3060,Home Catering,Self Delivery,7.04,137.97,74,3.4,0,3,5,0
15,09/03/2024,Portland,4101,Home Catering,Pickup,9.18,108.03,66,4.4,1,4,43,4
16,07/14/2024,Providence,2903,Home Catering,Self Delivery,8.51,38.73,25,3.5,0,4,32,1
17,06/28/2024,Nashua,3060,Home Catering,Self Delivery,11.09,53.59,38,4.4,1,1,56,2
18,10/21/2024,Cambridge,2139,Home Catering,Self Delivery,7.72,190.77,57,3.7,0,2,39,0
19,02/20/2024,Springfield,1103,Home Catering,Self Delivery,12.42,134.25,79,4.9,0,3,42,0
20,08/05/2024,Manchester,3103,Home Catering,Pickup,1.42,113.88,89,4.9,1,2,49,1
21,03/09/2024,Springfield,1103,Home Catering,Self Delivery,14.95,74.75,43,4.4,0,3,33,1
22,05/10/2024,Portland,4101,Home Catering,Pickup,4.14,80.63,68,4.2,1,4,35,3
23,09/01/2024,Lowell,1852,Home Catering,Self Delivery,6.57,104.98,89,4.8,0,1,36,0
24,04/29/2024,Boston,2118,Home Catering,Pickup,6.28,121.37,80,3.6,0,3,23,0
25,02/12/2024,Salem,1970,Home Catering,Pickup,14.02,35.28,28,4.3,0,3,65,3
26,05/25/2024,Lowell,1852,Home Catering,Pickup,13.46,180.17,68,3.1,0,3,29,1
27,10/05/2024,Boston,2118,Home Catering,Self Delivery,12.63,130.96,68,3.6,0,5,51,1
28,07/28/2024,Boston,2118,Home Catering,Pickup,14.56,147.81,54,4.5,0,0,70,1
29,05/11/2024,Concord,3301,Home Catering,Self Delivery,12.34,106.17,52,4.3,0,1,37,2
30,04/06/2024,Cambridge,2139,Home Catering,Self Delivery,3.49,32.91,68,4.4,1,4,43,0
31,01/03/2024,Springfield,1103,Home Catering,Self Delivery,7.42,45.7,26,4.7,1,3,54,2
32,01/04/2024,Springfield,1103,Home Catering,Self Delivery,10.05,61.78,64,4.5,0,1,77,1
33,10/22/2024,Providence,2903,Home Catering,Self Delivery,8.94,185.46,51,4.6,1,7,36,0
34,09/24/2024,Salem,1970,Home Catering,Pickup,13.96,90.45,75,4.0,0,3,51,1
35,03/01/2024,Worcester,1608,Home Catering,Pickup,4.0,59.4,36,4.7,1,4,5,4
36,09/23/2024,Cambridge,2139,Home Catering,Self Delivery,10.52,64.96,78,4.1,0,2,42,2
37,01/04/2024,Concord,3301,Home Catering,Pickup,5.34,116.29,36,3.2,0,1,45,3
38,07/11/2024,Cambridge,2139,Home Catering,Self Delivery,12.37,95.04,53,4.9,1,4,37,1
39,04/15/2024,Concord,3301,Home Catering,Self Delivery,12.64,53.09,65,4.1,1,4,45,1
40,06/10/2024,Cambridge,2139,Home Catering,Self Delivery,4.69,59.08,37,4.3,0,1,26,1
41,07/28/2024,Portland,4101,Home Catering,Self Delivery,13.27,168.02,32,4.6,1,2,51,2
