order_id,order_date_us,City,zip_code,restaurant,Delivery,distance_miles,order_amount_usd,delivery_time_min,customer_rating,repeat_customer
1,03/01/2024,Portland,04101,Home Catering,Self Delivery,6.33,68.29,82,4.8,1
2,02/17/2024,Manchester,03103,Home Catering,Self Delivery,7.83,44.95,24,3.3,1
3,09/03/2024,Lowell,01852,Home Catering,Self Delivery,9.03,67.87,27,4.6,0
4,03/07/2024,Nashua,03060,Home Catering,Self Delivery,1.71,130.76,83,4.4,1
5,10/03/2024,Springfield,01103,Home Catering,Self Delivery,11.27,75.45,75,3.5,0
6,01/01/2024,Portland,04101,Home Catering,Pickup,1.09,178.26,28,3.6,0
7,08/08/2024,Concord,03301,Home Catering,Pickup,11.16,78.35,55,4.1,1
8,09/24/2024,Manchester,03103,Home Catering,Pickup,13.67,85.77,51,3.4,0
9,08/03/2024,Worcester,01608,Home Catering,Self Delivery,5.58,166.93,43,4.7,0
10,07/08/2024,Manchester,03103,Home Catering,Self Delivery,10.45,97.26,35,4.9,0
11,01/23/2024,Nashua,03060,Home Catering,Self Delivery,11.67,150.78,42,3.8,1
12,09/28/2024,Providence,02903,Home Catering,Pickup,6.17,35.21,31,4.4,0
13,08/07/2024,Manchester,03103,Home Catering,Pickup,13.94,101.23,76,3.5,1
14,04/27/2024,Nashua,03060,Home Catering,Self Delivery,7.04,137.97,74,3.4,1
15,09/03/2024,Portland,04101,Home Catering,Pickup,9.18,108.03,66,4.4,1
16,07/14/2024,Providence,02903,Home Catering,Self Delivery,8.51,38.73,25,3.5,0
17,06/28/2024,Nashua,03060,Home Catering,Self Delivery,11.09,53.59,38,4.4,1
18,10/21/2024,Cambridge,02139,Home Catering,Self Delivery,7.72,190.77,57,3.7,1
19,02/20/2024,Springfield,01103,Home Catering,Self Delivery,12.42,134.25,79,4.9,0
20,08/05/2024,Manchester,03103,Home Catering,Pickup,1.42,113.88,89,4.9,1
21,03/09/2024,Springfield,01103,Home Catering,Self Delivery,14.95,74.75,43,4.4,0
22,05/10/2024,Portland,04101,Home Catering,Pickup,4.14,80.63,68,4.2,1
23,09/01/2024,Lowell,01852,Home Catering,Self Delivery,6.57,104.98,89,4.8,1
24,04/29/2024,Boston,02118,Home Catering,Pickup,6.28,121.37,80,3.6,1
25,02/12/2024,Salem,01970,Home Catering,Pickup,14.02,35.28,28,4.3,0
26,05/25/2024,Lowell,01852,Home Catering,Pickup,13.46,180.17,68,3.1,0
27,10/05/2024,Boston,02118,Home Catering,Self Delivery,12.63,130.96,68,3.6,1
28,07/28/2024,Boston,02118,Home Catering,Pickup,14.56,147.81,54,4.5,0
29,05/11/2024,Concord,03301,Home Catering,Self Delivery,12.34,106.17,52,4.3,1
30,04/06/2024,Cambridge,02139,Home Catering,Self Delivery,3.49,32.91,68,4.4,1
31,01/03/2024,Springfield,01103,Home Catering,Self Delivery,7.42,45.7,26,4.7,0
32,01/04/2024,Springfield,01103,Home Catering,Self Delivery,10.05,61.78,64,4.5,1
33,10/22/2024,Providence,02903,Home Catering,Self Delivery,8.94,185.46,51,4.6,1
34,09/24/2024,Salem,01970,Home Catering,Pickup,13.96,90.45,75,4.0,1
35,03/01/2024,Worcester,01608,Home Catering,Pickup,4.0,59.4,36,4.7,1
36,09/23/2024,Cambridge,02139,Home Catering,Self Delivery,10.52,64.96,78,4.1,0
37,01/04/2024,Concord,03301,Home Catering,Pickup,5.34,116.29,36,3.2,0
38,07/11/2024,Cambridge,02139,Home Catering,Self Delivery,12.37,95.04,53,4.9,0
39,04/15/2024,Concord,03301,Home Catering,Self Delivery,12.64,53.09,65,4.1,0
40,06/10/2024,Cambridge,02139,Home Catering,Self Delivery,4.69,59.08,37,4.3,0
41,07/28/2024,Portland,04101,Home Catering,Self Delivery,13.27,168.02,32,4.6,1
42,07/04/2024,Manchester,03103,Home Catering,Pickup,10.4,45.85,84,3.3,0
